,tmdb_id,soup
85,28,drama war guerrillawarfare epic vietnamwar journalist mission vietnam vietcong cia army drugabuse baseonnovelorbook secretmission insanity surrealism tribe jungle descentintomadness brutality riverboat military antiwar martinsheen fredericforrest alberthall laurencefishburne sambottoms marlonbrando francisfordcoppola francisfordcoppola francisfordcoppola
86,4348,drama romance baseonnovelorbook england bachelor familyrelationship prejudice perioddrama 18thcentury oppositeattract gentleman sister keiraknightley matthewmacfadyen brendablethyn donaldsutherland rosamundpike jenamalone joewright joewright joewright
87,406997,drama family bully prejudice school baseonchild'sbook family jacobtremblay juliaroberts owenwilson izabelavidovic noahjupe milliedavis stephenchbosky stephenchbosky stephenchbosky
88,128,adventure fantasy animation friendship humanvsnature wolf fight leprosy feralchild decapitation ruralarea historicalfiction spirit demon nature adultanimation anime youjimatsuda yurikoishida yukotanaka kaorukobayashi masahikonishimura tsunehikokamijō hayaomiyazaki hayaomiyazaki hayaomiyazaki
89,8392,fantasy animation family mother siblerelationship village ruralarea hospital newneighbor newhome superpower magicalcreature anime norikohidaka chikasakamoto hitoshitakagi shigesatoitoi sumishimamoto taniekitabayashi hayaomiyazaki hayaomiyazaki hayaomiyazaki
90,359724,drama action history baseonnovelorbook carrace sport carmechanic biography baseontruestory race racecardriver 1960 christianbale mattdamon jonbernthal caitríonabalfe joshlucas noahjupe jamesmangold jamesmangold jamesmangold
91,598,drama crime streetgang photographer gangster riodejaneiro gangwar ghetto comeofage womandirector alexandrerodrigues leandrofirmino phellipehaagensen douglassilva jonathanhaagensen matheusnachtergaele fernandomeirelles fernandomeirelles fernandomeirelles
92,315162,adventure fantasy animation comedy family action fairytale sequel spinoff aftercreditsstinger talkcat antoniobanderas salmahayekpinault harveyguillén wagnermoura florencepugh oliviacolman joelcrawford joelcrawford joelcrawford
93,1091,horror mystery sciencefiction spacecraft spacemarine baseonnovelorbook isolation mutation paranoia snowstorm alienlife-form alien remake creature helicopterpilot sledog alienmonster isolateplace maleprotagonist bodyhorror ambiguity cultfilm kurtrussell keithdavid wilfordbrimley t.k.carter davidclennon richarddysart johncarpenter johncarpenter johncarpenter
94,28178,drama family friendship loyalty pet humananimalrelationship familyrelationship friend dog familydog pet richardgere joanallen sarahroemer cary-hiroyukitagawa erickavari robbiesublett lassehallström lassehallström lassehallström
95,334543,drama australia baseonnovelorbook adoption biography baseontruestory india misschild devpatel rooneymara davidwenham nicolekidman abhishekbharate divianladwa garthdavis garthdavis garthdavis
96,100,comedy crime alcohol shotgun tea rifle potsmoking marijuana anger carjack piano highstake jasonflemyng dexterfletcher nickmoran jasonstatham stevenmackintosh nicholasrowe guyritchie guyritchie guyritchie
97,7345,drama california siblerelationship baseonnovelorbook capitalism pastor deaf-mute americandream narcissism fanatic father misanthrophy money oil religion church killer alcoholic characterstudy signlanguage adoptson 1900s danielday-lewis pauldano kevinj.o'connor ciaránhinds dillonfreasier hopeelizabethreeves paulthomasanderson paulthomasanderson paulthomasanderson
